Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0,Strain_Percentuale,DeltaR_Percentuale
52.15,17.3838,12.3451,0.108672024690144,-0.480344813908031,34.7676,-48.0344813908031
52.16,17.3871,12.3459,0.108682894088901,-0.48029168300296,34.7742,-48.029168300296
52.17,17.3903,12.347,0.108686586560342,-0.480273633712647,34.7806,-48.0273633712647
52.18,17.3936,12.3473,0.108695041788266,-0.48023230333409,34.7872,-48.023230333409
52.19,17.3969,12.3461,0.108701068140905,-0.480202845562457,34.7938,-48.0202845562457
52.2,17.4003,12.3466,0.108713074519812,-0.480144156253504,34.8006,-48.0144156253504
52.21,17.4039,12.3473,0.108720223135919,-0.480109212413601,34.8078,-48.0109212413601
52.22,17.4073,12.3478,0.108728515443291,-0.480068677858151,34.8146,-48.0068677858151
52.23,17.4106,12.3498,0.108734376186391,-0.480040029221185,34.8212,-48.0040029221185
52.24,17.414,12.3515,0.108748542163911,-0.479970782437619,34.828,-47.9970782437619
52.25,17.4173,12.3516,0.108760209644441,-0.47991374862086,34.8346,-47.991374862086
52.26,17.4207,12.3522,0.108763501339197,-0.479897657872796,34.8414,-47.9897657872796
52.27,17.4241,12.353,0.108776307210927,-0.479835058892895,34.8482,-47.9835058892895
52.28,17.4275,12.3543,0.108789072050585,-0.479772660163979,34.855,-47.9772660163979
52.29,17.4308,12.3547,0.10878857337347,-0.479775097867623,34.8616,-47.9775097867623
52.3,17.4341,12.3545,0.108801132692785,-0.479713703484297,34.8682,-47.9713703484298
52.31,17.4373,12.3537,0.108812475903271,-0.47965825359896,34.8746,-47.965825359896
52.32,17.4405,12.3543,0.108820148291503,-0.479620747929621,34.881,-47.9620747929621
52.33,17.4438,12.3561,0.108832588695062,-0.47955993406478,34.8876,-47.955993406478
52.34,17.4471,12.3579,0.108837851980882,-0.479534204842294,34.8942,-47.9534204842294
52.35,17.4504,12.3577,0.10885505806168,-0.479450093674885,34.9008,-47.9450093674885
52.36,17.4537,12.3572,0.108866238120667,-0.479395440132246,34.9074,-47.9395440132246
52.37,17.457,12.3573,0.108876140003146,-0.479347034726736,34.914,-47.9347034726736
52.38,17.4603,12.3567,0.108885932078857,-0.479299165919462,34.9206,-47.9299165919462
52.39,17.4637,12.3572,0.108900467861243,-0.479228107029897,34.9274,-47.9228107029897
52.4,17.4673,12.36,0.108913798518256,-0.479162939083909,34.9346,-47.9162939083909
52.41,17.4707,12.3624,0.108918696712786,-0.479138993792544,34.9414,-47.9138993792544
52.42,17.4742,12.3634,0.108927182849125,-0.479097508391747,34.9484,-47.9097508391747
52.43,17.4775,12.3619,0.108939244375735,-0.479038544058895,34.955,-47.9038544058895
52.44,17.4808,12.3632,0.108951250558358,-0.478979849993464,34.9616,-47.8979849993464
52.45,17.4841,12.3656,0.108963193784254,-0.478921463415756,34.9682,-47.8921463415756
52.46,17.4874,12.3676,0.108971542653141,-0.478880648320346,34.9748,-47.8880648320346
52.47,17.4908,12.3676,0.10898704936598,-0.478804840320538,34.9816,-47.8804840320538
52.48,17.4942,12.3676,0.109003701282736,-0.478723433202507,34.9884,-47.8723433202507
52.49,17.4975,12.3671,0.109015550722878,-0.478665503871759,34.995,-47.8665503871759
52.5,17.5007,12.367,0.109026145950181,-0.478613705876572,35.0014,-47.8613705876572
52.51,17.5039,12.3678,0.109035476321174,-0.47856809133081,35.0078,-47.856809133081
52.52,17.5069,12.3693,0.109053156851114,-0.478481653846528,35.0138,-47.8481653846528
52.53,17.5101,12.3695,0.109062449346579,-0.478436223966142,35.0202,-47.8436223966142
52.54,17.5134,12.3688,0.109074157578586,-0.478378983597771,35.0268,-47.8378983597771
52.55,17.5167,12.3677,0.109084647814784,-0.478327697655602,35.0334,-47.8327697655602
52.56,17.5201,12.3687,0.10909512621308,-0.478276469368376,35.0402,-47.8276469368376
52.57,17.5236,12.371,0.109116335750423,-0.478172776487098,35.0472,-47.8172776487098
52.58,17.527,12.3723,0.10912921268982,-0.478109821023598,35.054,-47.8109821023598
52.59,17.5304,12.3736,0.109144398466418,-0.478035577209889,35.0608,-47.8035577209889
52.6,17.5338,12.3758,0.109157132297716,-0.477973320690467,35.0676,-47.7973320690467
52.61,17.5374,12.3785,0.109174558751512,-0.477888121112741,35.0748,-47.7888121112741
52.62,17.5408,12.3807,0.109183597096646,-0.477843931551014,35.0816,-47.7843931551014
52.63,17.5442,12.381,0.10919971886093,-0.477765109891481,35.0884,-47.7765109891481
52.64,17.5475,12.3804,0.109205068743191,-0.477738953421133,35.095,-47.7738953421133
52.65,17.5508,12.3795,0.109222401768192,-0.477654208966023,35.1016,-47.7654208966023
52.66,17.5543,12.3798,0.10922900070898,-0.477621945331847,35.1086,-47.7621945331847
52.67,17.5576,12.3802,0.109248727982796,-0.477525493947869,35.1152,-47.7525493947869
52.68,17.561,12.3812,0.109255353492427,-0.47749310006401,35.122,-47.749310006401
52.69,17.5643,12.3834,0.109264360614251,-0.477449061702117,35.1286,-47.7449061702117
52.7,17.5676,12.3845,0.109272221996861,-0.477410625050186,35.1352,-47.7410625050186
52.71,17.5707,12.3838,0.109295614037866,-0.47729625363127,35.1414,-47.729625363127
52.72,17.5739,12.3831,0.109303454882642,-0.477257916905145,35.1478,-47.7257916905145
52.73,17.5771,12.3835,0.109325591983765,-0.47714967994738,35.1542,-47.714967994738
52.74,17.5804,12.3851,0.109336962451707,-0.477094084895272,35.1608,-47.7094084895272
52.75,17.5838,12.3873,0.10935069392918,-0.477026945519148,35.1676,-47.7026945519148
52.76,17.5873,12.3875,0.109359618899836,-0.476983307116879,35.1746,-47.6983307116879
52.77,17.5906,12.3868,0.109373346375268,-0.476916186686708,35.1812,-47.6916186686708
52.78,17.5941,12.3867,0.10938590959371,-0.476854758555696,35.1882,-47.6854758555696
52.79,17.5974,12.3872,0.109403256480614,-0.476769940054516,35.1948,-47.6769940054516
52.8,17.6008,12.3891,0.109414570360405,-0.47671461992961,35.2016,-47.671461992961
52.81,17.6042,12.3906,0.109429443155606,-0.476641897812269,35.2084,-47.6641897812269
52.82,17.6076,12.3916,0.1094335234858,-0.476621946525567,35.2152,-47.6621946525567
52.83,17.6111,12.3916,0.109454303936727,-0.476520337385599,35.2222,-47.6520337385599
52.84,17.6144,12.3912,0.109461864490175,-0.476483368708251,35.2288,-47.6483368708251
52.85,17.6175,12.3923,0.109478949381419,-0.476399828658016,35.235,-47.6399828658016
52.86,17.6208,12.3942,0.109497212162921,-0.476310528428378,35.2416,-47.6310528428378
52.87,17.624,12.3944,0.109509465653204,-0.476250611688754,35.248,-47.6250611688754
52.88,17.6273,12.3942,0.10952768761642,-0.476161509938647,35.2546,-47.6161509938647
52.89,17.6305,12.3949,0.109542320045176,-0.476089959812361,35.261,-47.6089959812361
52.9,17.6338,12.3956,0.109553431225121,-0.476035627717087,35.2676,-47.6035627717087
52.91,17.637,12.3962,0.109559813885416,-0.476004417301142,35.274,-47.6004417301142
52.92,17.6403,12.3971,0.109571011998806,-0.475949659720922,35.2806,-47.5949659720922
52.93,17.6438,12.3985,0.109579874036899,-0.475906325122011,35.2876,-47.5906325122011
52.94,17.6472,12.3989,0.109593557512492,-0.47583941380274,35.2944,-47.583941380274
52.95,17.6506,12.3992,0.109604905740609,-0.475783921410028,35.3012,-47.5783921410028
52.96,17.6541,12.3987,0.109615025547958,-0.475734435729704,35.3082,-47.5734435729704
52.97,17.6576,12.398,0.10962517687222,-0.475684795726469,35.3152,-47.5684795726469
52.98,17.6609,12.3985,0.10964845750784,-0.47557095257674,35.3218,-47.557095257674
52.99,17.6642,12.3984,0.109661037444265,-0.475509435781784,35.3284,-47.5509435781784
53,17.6676,12.3987,0.109673555106383,-0.475448223198532,35.3352,-47.5448223198532
53.01,17.6709,12.4009,0.109683694045934,-0.475398642569907,35.3418,-47.5398642569907
53.02,17.6743,12.4036,0.109704630827685,-0.475296258549193,35.3486,-47.5296258549193
53.03,17.6776,12.4045,0.109720838224056,-0.475217001334337,35.3552,-47.5217001334337
53.04,17.6808,12.4057,0.109740638851262,-0.475120171832286,35.3616,-47.5120171832287
53.05,17.6841,12.4083,0.109754499743916,-0.475052388496022,35.3682,-47.5052388496022
53.06,17.6873,12.4108,0.109770765455655,-0.474972844484806,35.3746,-47.4972844484806
53.07,17.6905,12.41,0.109779944374288,-0.474927956697701,35.381,-47.4927956697701
53.08,17.6938,12.4079,0.109792770790724,-0.474865231221628,35.3876,-47.4865231221628
53.09,17.697,12.408,0.109800901061351,-0.474825471302422,35.394,-47.4825471302422
53.1,17.7003,12.4093,0.109813869479071,-0.474762050847058,35.4006,-47.4762050847058
53.11,17.7036,12.41,0.109823324567876,-0.47471581168357,35.4072,-47.471581168357
53.12,17.707,12.4097,0.10983519022933,-0.474657783603315,35.414,-47.4657783603315
53.13,17.7103,12.4103,0.109850603962215,-0.474582403539436,35.4206,-47.4582403539436
53.14,17.7138,12.4133,0.109869626997722,-0.474489371712529,35.4276,-47.4489371712529
53.15,17.7173,12.416,0.109880284899822,-0.474437249109847,35.4346,-47.4437249109847
53.16,17.7207,12.4147,0.109890941897515,-0.474385130703011,35.4414,-47.4385130703011
