Tempo,Spostamento,Forza,Voltaggio,Delta_R_su_R0,Strain_Percentuale,DeltaR_Percentuale
56.36,18.7874,6.9156,0.179437040757677,-0.564538419914578,26.8391428571429,-56.4538419914578
56.37,18.7908,6.9159,0.179410455764064,-0.564605338099999,26.844,-56.4605338099999
56.38,18.7941,6.9174,0.17936610364207,-0.564716977015248,26.8487142857143,-56.4716977015248
56.39,18.7975,6.9188,0.179357716987767,-0.564738086867581,26.8535714285714,-56.4738086867581
56.4,18.8009,6.9198,0.179335191059711,-0.564794785993176,26.8584285714286,-56.4794785993176
56.41,18.8042,6.9205,0.179329579202655,-0.564808911294916,26.8631428571429,-56.4808911294916
56.42,18.8074,6.9216,0.179323894680177,-0.564823219465331,26.8677142857143,-56.4823219465331
56.43,18.8106,6.9234,0.179330031121539,-0.564807773795565,26.8722857142857,-56.4807773795565
56.44,18.8138,6.9249,0.179304073395818,-0.564873110166797,26.8768571428571,-56.4873110166797
56.45,18.817,6.9254,0.179290277500334,-0.564907834561583,26.8814285714286,-56.4907834561583
56.46,18.8203,6.9261,0.179259947014509,-0.564984175972302,26.8861428571429,-56.4984175972302
56.47,18.8236,6.9277,0.179247508290138,-0.565015483790675,26.8908571428571,-56.5015483790675
56.48,18.827,6.9288,0.179240999890916,-0.565031865131222,26.8957142857143,-56.5031865131222
56.49,18.8303,6.9294,0.179226009738197,-0.565069594485718,26.9004285714286,-56.5069594485718
56.5,18.8338,6.9312,0.179230286836073,-0.565058829299638,26.9054285714286,-56.5058829299638
56.51,18.8372,6.9336,0.179238151938319,-0.565039033282592,26.9102857142857,-56.5039033282592
56.52,18.8407,6.9352,0.179228171943206,-0.565064152354224,26.9152857142857,-56.5064152354224
56.53,18.8441,6.9343,0.179222969962764,-0.565077245397494,26.9201428571429,-56.5077245397494
56.54,18.8476,6.9345,0.179199967390647,-0.565135141022696,26.9251428571429,-56.5135141022696
56.55,18.851,6.9351,0.179181707015423,-0.565181100526082,26.93,-56.5181100526082
56.56,18.8543,6.9363,0.179156423207995,-0.565244736717719,26.9347142857143,-56.5244736717719
56.57,18.8576,6.9378,0.17913236563177,-0.565305286018542,26.9394285714286,-56.5305286018542
56.58,18.8608,6.9374,0.179126237393136,-0.56532070977685,26.944,-56.532070977685
56.59,18.8641,6.9382,0.179099731929882,-0.565387419171859,26.9487142857143,-56.5387419171859
56.6,18.8674,6.9385,0.179092352762735,-0.565405991053112,26.9534285714286,-56.5405991053112
56.61,18.8706,6.9381,0.179055137146949,-0.565499654415106,26.958,-56.5499654415106
56.62,18.8738,6.9389,0.179041774105407,-0.565533285842116,26.9625714285714,-56.5533285842116
56.63,18.8768,6.941,0.179014154837894,-0.565602796026627,26.9668571428571,-56.5602796026627
56.64,18.8801,6.9431,0.179011631592264,-0.565609146309909,26.9715714285714,-56.5609146309909
56.65,18.8833,6.9439,0.178993640643477,-0.565654424159111,26.9761428571429,-56.5654424159111
56.66,18.8868,6.9455,0.178974486691417,-0.565702628569082,26.9811428571429,-56.5702628569082
56.67,18.8902,6.948,0.178963702917211,-0.565729767733008,26.986,-56.5729767733008
56.68,18.8936,6.9481,0.178939960220377,-0.565789519756236,26.9908571428571,-56.5789519756236
56.69,18.897,6.9466,0.178925895106389,-0.565824916427174,26.9957142857143,-56.5824916427174
56.7,18.9006,6.9465,0.178920092369113,-0.56583951970274,27.0008571428571,-56.583951970274
56.71,18.904,6.9494,0.178901320531798,-0.565886761013667,27.0057142857143,-56.5886761013667
56.72,18.9075,6.9513,0.178890853066415,-0.565913103335914,27.0107142857143,-56.5913103335914
56.73,18.911,6.9518,0.178873091185875,-0.565957802451135,27.0157142857143,-56.5957802451135
56.74,18.9145,6.9531,0.178861323766248,-0.56598741587089,27.0207142857143,-56.598741587089
56.75,18.9178,6.9547,0.178828102189195,-0.566071019188951,27.0254285714286,-56.6071019188951
56.76,18.9211,6.9555,0.178803376092465,-0.566133242571055,27.0301428571429,-56.6133242571055
56.77,18.9243,6.9558,0.178794192265625,-0.566156353568054,27.0347142857143,-56.6156353568054
56.78,18.9276,6.9569,0.178782559137762,-0.566185628077143,27.0394285714286,-56.6185628077143
56.79,18.9308,6.9586,0.17877564555319,-0.566203025892948,27.044,-56.6203025892948
56.8,18.9341,6.9605,0.178773515110356,-0.566208387074563,27.0487142857143,-56.6208387074563
56.81,18.9373,6.9617,0.178765369257247,-0.566228885772824,27.0532857142857,-56.6228885772824
56.82,18.9405,6.9618,0.178752518148581,-0.566261224908835,27.0578571428571,-56.6261224908835
56.83,18.9437,6.9622,0.178742235168756,-0.566287101360132,27.0624285714286,-56.6287101360132
56.84,18.947,6.9625,0.17873917386468,-0.566294804911819,27.0671428571429,-56.6294804911819
56.85,18.9503,6.9624,0.178709770907267,-0.566368794842696,27.0718571428571,-56.6368794842696
56.86,18.9537,6.9633,0.178692372981454,-0.566412574752812,27.0767142857143,-56.6412574752812
56.87,18.9572,6.9648,0.178671447581434,-0.566465230733756,27.0817142857143,-56.6465230733756
56.88,18.9608,6.9658,0.178666081775938,-0.566478732994689,27.0868571428571,-56.6478732994689
56.89,18.9642,6.9678,0.178646460077918,-0.566528107858119,27.0917142857143,-56.6528107858119
56.9,18.9676,6.9699,0.178641187327605,-0.56654137582209,27.0965714285714,-56.654137582209
56.91,18.9709,6.9717,0.178632301168098,-0.566563736239507,27.1012857142857,-56.6563736239507
56.92,18.9744,6.9719,0.178618635207745,-0.56659812400267,27.1062857142857,-56.659812400267
56.93,18.9778,6.9712,0.178593089763228,-0.566662403682179,27.1111428571429,-56.6662403682179
56.94,18.9812,6.9721,0.178583127401709,-0.566687471662071,27.116,-56.6687471662071
56.95,18.9845,6.9742,0.178566020029912,-0.566730518167023,27.1207142857143,-56.6730518167023
56.96,18.9877,6.9772,0.178545300824538,-0.566782652556223,27.1252857142857,-56.6782652556223
56.97,18.9908,6.9782,0.178537668078192,-0.566801858226591,27.1297142857143,-56.6801858226591
56.98,18.9938,6.9786,0.178520495335649,-0.56684506840558,27.134,-56.684506840558
56.99,18.997,6.9793,0.178501051707489,-0.56689399223183,27.1385714285714,-56.689399223183
57,19.0002,6.9807,0.178478285104075,-0.566951276787446,27.1431428571429,-56.6951276787446
57.01,19.0035,6.9813,0.17846395409701,-0.566987335704087,27.1478571428571,-56.6987335704087
57.02,19.0068,6.9812,0.178454477636887,-0.567011179750555,27.1525714285714,-56.7011179750555
57.03,19.0102,6.982,0.178449711176195,-0.567023172770418,27.1574285714286,-56.7023172770418
57.04,19.0136,6.9838,0.178436504228712,-0.567056403002095,27.1622857142857,-56.7056403002095
57.05,19.017,6.9849,0.178436367589028,-0.567056746802644,27.1671428571429,-56.7056746802644
57.06,19.0205,6.9852,0.178448071729819,-0.567027297820031,27.1721428571429,-56.7027297820031
57.07,19.0242,6.9862,0.178436965464444,-0.567055242481865,27.1774285714286,-56.7055242481865
57.08,19.0276,6.9887,0.178434070605175,-0.567062526265,27.1822857142857,-56.7062526265
57.09,19.0311,6.9896,0.178409595601143,-0.567124107707496,27.1872857142857,-56.7124107707496
57.1,19.0346,6.9894,0.178380439804783,-0.567197465653583,27.1922857142857,-56.7197465653583
57.11,19.0379,6.9895,0.178369269465279,-0.567225570744577,27.197,-56.7225570744577
